EMPRESA;JOGO;TITULO DO COMENTÁRIO;COMENTÁRIO;NOTA;DATA;OPINIÃO DAS PESSOAS SOBRE O COMENTÁRIO
Ubisoft;Assassin's Creed Odyssey;Great game!;Really enjoyed playing AC Odyssey! If not for the fun of playing a great game but it's also feel good to just roam in the beautiful Mediterranean setting!;9/10;31 December 2020;11 out of 12 found this helpful.
Ubisoft;Assassin's Creed Odyssey;Good gameplay, awful story.;It's enjoyable to play ACO if you will ignore story and especially dialogs. Amazing level design, good gameplay, nice graphics, not bad voices. But man, that story so flat, it sucked almost like Justice league. And the dialog even more, absolutely horrible and very poorly written. The idea with cultist very good. And dialogs and choices are horrible and useless. Too many historical persons with flat personality, would be better to have one two but more interesting and deeper character.;7/10;26 June 2019;34 out of 57 found this helpful.
Ubisoft;Assassin's Creed Odyssey;Beautiful game with the storytelling of a 4-year old;Well-designed game, but the dialogues and story arc make you wish it was over sooner rather than later. Nothing is missed by skipping them.;7/10;19 April 2020;26 out of 43 found this helpful.
Ubisoft;Assassin's Creed Odyssey;This Game Is Everything and More;I am not a pro gamer, nor do I play video games on a regular basis but I could not help but appreciate all the hard work and care the developers and actors of AC: Odyssey put into this creation. For someone who had been enjoying reading about Ancient Greece and all the myths and legends surrounding that period, this game delivers an unforgettable immersive experience. I am grateful to everyone at Ubisoft who helped bring (in my case) Alexios's story to life. I loved every minute of 200+ hours I spent playing the game and its DLCs to the point that I did not want it to end. The ease of movements, engaging weapon and gear system, cool abilities, gorgeous locations, truly all-climbable obstacles and the seamless interconnectivity of it all throughout the progression of the game deserve the utmost recognition. I am grateful for all the choices I was given a chance to make, for the moments of awe, laughter and tears I have experienced. Keep up the great work, Ubisoft Quebec!;10/10;6 February 2021;19 out of 22 found this helpful.
Ubisoft;Assassin's Creed Odyssey;8 hours in, haven't gotten bored once.;I haven't played an Assassins Creed game since Black Flag, so I saw Odyssey was on sale for cheap and decided to get it. It hasn't let me down once. I love the story, it's easy to keep track of and lets you explore the open world between tasks, building up the in game world just that much more. The combat system is nicely done, if you get down the timing on dodging or blocking then you should have no problem with most of the enemy's. It never forces you into a difficulty and you can turn it higher or lower whenever you like. Happy playing!;10/10;9 December 2020;12 out of 16 found this helpful.
Ubisoft;Assassin's Creed Odyssey;What happened?;This game is a masterpiece, massively awesome. Less than a month ago, this game had a 9.1 rating on this site, now it has an 8.3, what happened? Did Red Dead fans want to hate on it because they didn't win Game if the year? Or people just hating on it?;10/10;16 December 2018;67 out of 121 found this helpful.
Ubisoft;Assassin's Creed Odyssey;Awesome;What an awesome and amazing game! Massive open world with no end of exploring and interactions. Great game design and attention to detail. And when you set game difficulty to hard they deliver. And the mercs are a great challenge and very rewarding when defeated. Now one of my favs. Strongly recommended.;10/10;16 December 2018;30 out of 50 found this helpful.
Ubisoft;Assassin's Creed Odyssey;Perfect;No complaints game was better than expected. Story was entertaining, gameplay was fun, and game was long which i enjoyed.;10/10;8 October 2021;3 out of 3 found this helpful.
Ubisoft;Assassin's Creed Odyssey;Great game;Great story line and game play. You almost forget that you're playing Assassins Creed, it' more of an adventure quest (depending on the mode you pick) from start to finish. The fighting style is smoother than the last and the abilities list is very dynamic to fit your fighting style. This is the number one game of the year as of right now. Red Dead Redemption has it's hands full.;10/10;5 October 2018;47 out of 91 found this helpful.
Ubisoft;Assassin's Creed Odyssey;Good game;I enjoyed the gameplay and the world is vast and pretty. The soundtrack is amazing, the graphics are nice. However, the story and characters lack development, voice acting and animations were bad compared to Origins and other AC game and the ending was disappointing.;6/10;11 April 2019;15 out of 32 found this helpful.
Ubisoft;Assassin's Creed Odyssey;Back to its best.;Assassin's creed odyssey is the assertion and the reformation of a stale franchise, that in the break of a year and a release later, stands as one of the best RPG's out there and certainty rivalling assassin's creed 2 in this particular franchise.From the stunning world, to the brilliant combat, to the incredible performance of Kassandra, this game is one of the best of the generation (certainly top 10). Ubisoft have really revitalised a franchise that was on the verge of collapse. Assassin's creed odyssey is stunning. The games fundamentals and basic elements far exceed that of any other assassin's creed game. The performance of Melissa Mahut as Kassandra is incredible as she manages to nail so many different emotions and feelings the character may feel through the awesome new choices made throughout and does it in some style, hence her being nominated at the game awards for it. Ancient Greece is one of the best looking worlds I've ever seen with incredible amounts of detail as ubisoft continued this after the wonderful world of Origins (Egypt). The Gameplay is fun and keeps you changing up styles frequently, a thing that many games struggle with. The choices aid this also as you never know how the game will come back at you, if you lie, romance or kill someone.All in all this game is one of the best and ignore that moron that complains that it isn't assassin's creed anymore. This is the best assassin's creed has ever been (except 2). Ubisoft have really outdone themselves and despite the 50-80 hours of play through this game is not to be missed. I encourage anyone that hasn't, to buy this game. This truly is one of the best this generation.;10/10;13 June 2019;19 out of 34 found this helpful.
Ubisoft;Assassin's Creed Odyssey;Overwhelming.;Too big. As soon as started I'm having so much overwhelming missions thrown my way half of which mean nothing just an excuse to get xp up.Sync points.No a lot of quick travel points for something so big.Dead eyes. Once again assasins creed characters have no emotions In their face it's like talking to someone when both eyes are lazy.(I don't who their talking too)Making choices through dialogue. Nothing you decide really has that much of an affect they don't even have a karma metre to judge weather you've done good things or not.Overall graphics are pretty, the sword play is average and the story is predictable.;6/10;21 July 2019;10 out of 26 found this helpful.
Ubisoft;Assassin's Creed Odyssey;As large as an ocean but as deep as a puddle;Quality>quantity, for such a big game,it surely disappointed, its just copy and paste over and over, no originality or uniqueness;1/10;5 June 2020;23 out of 42 found this helpful.
Ubisoft;Assassin's Creed Odyssey;the game is amazing;Though not for everyone the game is one of my favorites;9/10;21 March 2019;15 out of 26 found this helpful.
Ubisoft;Assassin's Creed Odyssey;Positively excellent;Graphics, everything looks stunning. Story starts off slow but it does pick up. Massive map to explore with plenty to do.;10/10;3 March 2019;18 out of 34 found this helpful.
Ubisoft;Assassin's Creed Odyssey;Great game play and combat, weak story and characters;Okay let me start this review with it is AMAZING. I, personally chose Alexios for my first play through but playing it for a second time I chose what I think is the better option, Kassandra. So far I've played about 20 hours with Kassandra and 150 with Alexios and this game is pure gold. The game play was flowed with action, (I like to use the bows) whether your using a sword, ax, or bow its so much fun. There are no glitches I've come across so far but I must say that in the beginning, I hated the game. I picked it up at gamestop and said hey lets give it a go but It just didn't seem that great. But I thought this game has good reviews so lets play some more. That was one of the best decisions I've made in my life. Personally, I don't enjoy Assassin's Creed games to much. I played Origins, It blew me a way so I knew I HAD to try Odyssey out, I also played Unity which I thought was great and its graphics were way ahead for a 2014 game, but this game felt different. It didn't feel like an Assassin's Creed game, which maybe was the reason I liked it so much and that's the reason why maybe some don't like it as much. It still focuses on game play which is good, but I feel it has a weak story. There good characters and all, but It seems that the side characters have more depth and the developers put more thought into them like Myrrine, than the main protagonist themselves. For the full experience I think you should chose Kassandra because of the dialogue and just overall more natural character, but if you chose Alexios, be my guest because he's just as good. Overall Odyssey is great game with great graphics and content, but has a weak story and characters that just ruin the experience.;10/10;2 February 2022;2 out of 2 found this helpful.
Ubisoft;Assassin's Creed Odyssey;Great game, but short from being perfect;Greetings from Lithuania.So after finishing all the DLC's for the game as well as main game and platinum it, i can safely say that "Assassin's Creed Odyssey" (2018) is a really great game, overall. More then a few times during my first 50 hours of game play (it took me eventually almost 125 hours to do it fully, but without rushing it), i stopped and simply looked around and was amazed of how amazingly the game simply looks. The graphics are out of this world beautiful. The world itself looks amazing and feels amazing. Colors are gorgeous. Combat system was very good for me personally. I liked the main story and found it interesting. The open world side quests were hit and miss because there really interesting ones and very boring ones. Exploration was another thing that i enjoyed it very much. But then when DLC came, they were pretty boring for me personally, and all i wanted is just to finish the game and move forward.Overall, i really enjoyed "Assassin's Creed Odyssey". I will be looking forward for next installments. Its not perfect, but its a damn great stuff.;9/10;27 August 2019;11 out of 20 found this helpful.
Ubisoft;Assassin's Creed Odyssey;Quite possibly the best Assassin's Creed game since Part 2;I got this game when it was on sale along with another Ubisoft game, For Honor. After playing the first level, which is kinda like Dynasty Warriors before you enter the main game and exploring the island as a man or woman, it gets interesting. The graphics sound and controls are pretty good despite having frame rate being the same speed as other games of this generation like Red Dead which is still the best game of last year. Like most Ubisoft games, it has Uplay as well as the Ubisoft Club rewards program and you'll get lots of achievements too as you progress through the game. Highly recommended if you love history and stealth.;10/10;19 May 2019;11 out of 21 found this helpful.
Ubisoft;Assassin's Creed Odyssey;Amazing Game;Wow.. this game was incredible! From combat to climbing to overall story. This game accomplished all of it. The players choice between alexios and kassandra is a great aspect of the game where most games don't give the player the option to pick which story you want to pursue(after playing I highly suggest playing as kassandra). I won't bore you too much but I absolutely loved this game and would highly suggest for others to play it.;10/10;30 March 2020;9 out of 17 found this helpful.
Ubisoft;Assassin's Creed Odyssey;One of the best words ever.;Out of all the Assasins creed games this is the most unfairly hated on. It has an unbelievably detailed and vibrant world that you can explore for hours. The gameplay is pretty good and some side quests are fantastic. Overall I would recommend this game to anyone but it does come with several issues. First of all the story is extremely forgettable, it's not bad but I can't even remember everything that happens. Another problem which in my opinion is the biggest is the pacing. The game forces you to do side quests to level up and it kills any sense of forward movement in the story. Honestly if you just removed the story and just had a ton of side missions I might have liked it better. The game overall though is over-hated and just because you don't play as an assassin by title doesn't mean the whole game is garbage.;7/10;20 February 2024;1 out of 2 found this helpful.
Ubisoft;Tom Clancy's Rainbow Six Siege;It keeps getting bigger and better.;Rainbow six siege is a tactical and methodical first person shooter developed by Ubisoft. Currently 1.6 million people play this game everyday, and it's vastly growing. As you first enter the game, you will feel the urge to rush into a heavily barricaded room and kill everyone to feel like a bad ass. Although this may sound fun, this is no call of duty. This game requires communication between teammates, searching for you enemy and having the will to be patient. You must be patient. For anyone who has ever played overwatch, this game will feel slightly similar with it's 'operator' system. Meaning each playable character has their own unique ability, varying from toxic smoke grenades to a stim pistol that can revive your teammates. You may play as an attacker or defender, on attack you must use your drones to locate either a hostage, a bomb or a bio-hazard container. Once the objective is located you must plan an attack to infiltrate the building and secure one of these three unique modes. On defense, well you guessed it, you have to defend. This means scouting the area on cameras, planting booby traps and reinforcing walls to stop the attackers from breaching in easily. But siege provides something more than just shooting and searching. It creates a large intense atmosphere that no game I have played has ever managed to capture before. It uses gritty and realistic game play mechanics to really make the player feel as if they are breaching a building. Once you're dead, you're dead, you can't respawn until the nest round, this may be off putting to some, but this means more communicating and tactical teamwork. I have had rainbow for a few months now, and haven't got bored once. This game is a definitely must buy and is totally different to anything I've played before. Pick this game up next time you have the chance, you won't regret it.;8/10;25 September 2016;8 out of 10 found this helpful.
Ubisoft;Tom Clancy's Rainbow Six Siege;Ubisoft did a GOOD?!;This is a great multiplayer game, I come back to it every couple of months for a couple of months because of how good it is. It's one of the most tactical games I've ever played which means you have to not be an absolute dough ball when playing the game, you have to strategies and work well with your team mates to win which can create feuds very quickly between players and makes the game extremely sweaty. The operators each having unique abilities also adds a lot to the game, you have to gain not be a complete dough ball and pick the right character for a given situation. Overall for a game that is constantly on deals to lower the price,mot is worth a cheeky purchase. One thing I will say and that I have noticed with some of my friends is that new players struggle a lot, it is a difficult game to start but if you keep playing it is satisfying and it can be enjoyed.;7/10;19 February 2021;3 out of 3 found this helpful.
Ubisoft;Tom Clancy's Rainbow Six Siege;Really good multiplayer tactical shooter;I've play this game since 2016 operation health and i enjoy this game so much. This is not a game that encourage you to run and gun like a superhero, this game encourage you to be tactical. Played with my friends thinking about a good strategy to defeat the opposing team, though laugh at time when doing something stupid. The monetization is okay for me because almost everything is unlock if you play the game and not forced to buy anything because all items is just outfits for your operator. But the game drawback for me is the connection to the server is quite bad, at times suddenly disconnect from match for no reason and the sound bug is annoying me. I recommend this game if you're like tactical shooters.;9/10;1 October 2020;1 out of 1 found this helpful.
Ubisoft;Tom Clancy's Rainbow Six Siege;Rainbow Six Siege is the greatest Home Alone simulator;After reaching level 99 in this game I can say it is the peak of Ubisoft Shooters. Fast paced, heart pounding and break-neck moments are what make up most of Six Siege. Mastering the operators, the maps and the mechanics are what make this a stand out game. It's almost a puzzle game, finding a hole in the defence with the right operator for the right situation. Each operator has their niche, be it Thermite at making an entrance or Montagne with his supporting capabilities. They all have their place in a match and learning that is key. The thrill of mastering Pulse, stalking the hallways of the map using cover to hide and then, when they least expect it, flanking them with a semi-automatic shotgun is the highlight of my time with this game. This game has made me enjoy Ubisoft once again, which is quite an accomplishment considering the disappointment of Watch_Dogs.;10/10;28 April 2016;11 out of 14 found this helpful.
Ubisoft;Tom Clancy's Rainbow Six Siege;Amazing and brilliant;This game is so good not just because it's a fun shooter but it's also very tactical you have to actually think you can't just go guns blazing all the time it's probably my favorite game of 2017-2018;10/10;11 March 2018;6 out of 8 found this helpful.
Ubisoft;Tom Clancy's Rainbow Six Siege;How Games Should Make You Feel;Edge of your seat tactical first person shooter done to perfection. The game time is perfect, the countdown usually ensuring a frantic ending.There is a reason this game has 50 million registered users...because it works.;10/10;6 December 2019;5 out of 7 found this helpful.
Ubisoft;Tom Clancy's Rainbow Six Siege;Best FPS if I do say so my self. Way to go Ubisoft;I love this game so much. The amount of tactics put into this game and all the other stuff like breaking walls, shooting through them. And how much your aim matters is just awesome. So many operators and surely more to come.;10/10;31 October 2019;3 out of 4 found this helpful.
Ubisoft;Tom Clancy's Rainbow Six Siege;A great potential ruined by toxic community and bad PC gamepad controls;After having played so many Call of Duty games, CS:GO and Team Fortress 2, this game feels like a step back, especially when you play it with a controller in which case the aiming is almost impossible. It feels like it has really clunky controls. The aiming is very hard with players like Clash and Montagne. We cannot pick up the weapons dropped by dead enemies (this made sense in Team Fortress 2 and Overwatch since they are class-based characters but there's no reason here). There are a lot of smurf accounts that abuse us for not playing on their level (even though we are in the Newcomers level), and there is no way to report such players.In terms of visual appeal this game is great. There are also a large number of maps to choose from, which makes this game look like it had a lot more potential. There are also plenty of characters to choose from. Though it lacks a campaign mode, it makes up for it with Challenges (which are also very difficult for new players). So overall I'd say it's a gorgeous looking game ruined by its bad controls and community.;6/10;24 March 2021;7 out of 8 found this helpful.
Ubisoft;Tom Clancy's Rainbow Six Siege;AMAZING GAME !!!;Its Better than Fortnite!Way more action based and way more fun playstyle then battle royal games like fortnite;10/10;28 October 2018;5 out of 9 found this helpful.
Ubisoft;Tom Clancy's Rainbow Six Siege;Was fun at the start but the novelty starts to wear thin.;I liked the Rainbow Six novel, and I thoroughly enjoyed the original Rainbow Six games, particularly the very first game released in 1998 and on of my favourite games of all time Rainbow Six 3: Raven Shield (2003). The best thing about it was the playability of the single player campaign, which Rainbow Six: Siege sorely lacks, instead has a huge emphasis on multiplayer following in the footsteps of such games as Call of Duty and Battlefield.Although Rainbow Six: Siege is what you make of it, I find the game to be mostly repetitive and multiplayer missions is a different experience. If you fail the mission or don't perform up to standard you can expect a backlash from other players online. The game has its moments but it's hardly addictive gameplay.As a Rainbow Six fan, it is such a shame considering I was eagerly looking forward to a new Rainbow Six game. If Rainbow Six sticks with what previously attracted many players to the game I would consider staying faithful to the series, but seeing as I feel that Rainbow Six: Siege felt like a average experience, I am not so sure.Unless you enjoy strategic multiplayer games you may enjoy it, otherwise if you are a fan of shoot em up games you won't get much enjoyment out of it.6/10.;6/10;11 December 2015;6 out of 23 found this helpful.
